Year,LapNumber,Attacker_Driver,Defender_Driver,Attacker_Position,Attacker_LapTime,Attacker_TyreLife,Attacker_Compound,Defender_LapTime,Defender_TyreLife,Defender_Compound,Delta_LapTime,Delta_TyreLife,Compound_Advantage,Estimated_Gap,IsOvertake
2022,3.0,HAM,TSU,18.0,88.954,3.0,MEDIUM,89.333,3.0,MEDIUM,-0.3790000000000049,0.0,0,0.18950000000000244,0
2022,3.0,MSC,HAM,19.0,89.301,3.0,MEDIUM,88.954,3.0,MEDIUM,0.3470000000000084,0.0,0,0.1735000000000042,0
2022,3.0,BOT,MSC,20.0,89.643,3.0,MEDIUM,89.301,3.0,MEDIUM,0.34199999999999875,0.0,0,0.17099999999999937,0
2022,4.0,RUS,LEC,2.0,86.143,4.0,SOFT,85.802,4.0,SOFT,0.340999999999994,0.0,0,0.170499999999997,0
2022,4.0,VER,RUS,3.0,85.782,4.0,SOFT,86.143,4.0,SOFT,-0.3610000000000042,0.0,0,0.1805000000000021,1
2022,4.0,RIC,VER,4.0,87.26,4.0,MEDIUM,85.782,4.0,SOFT,1.4780000000000086,0.0,-1,0.7390000000000043,0
2022,4.0,GAS,RIC,5.0,87.365,4.0,MEDIUM,87.26,4.0,MEDIUM,0.10499999999998977,0.0,0,0.052499999999994884,0
2022,4.0,NOR,GAS,6.0,87.326,4.0,MEDIUM,87.365,4.0,MEDIUM,-0.03900000000000148,0.0,0,0.01950000000000074,0
2022,4.0,ALO,NOR,7.0,87.417,4.0,MEDIUM,87.326,4.0,MEDIUM,0.09100000000000819,0.0,0,0.04550000000000409,0
2022,4.0,DEV,ALO,8.0,87.459,4.0,SOFT,87.417,4.0,MEDIUM,0.04200000000000159,0.0,1,0.021000000000000796,0
2022,4.0,ZHO,DEV,9.0,87.296,4.0,MEDIUM,87.459,4.0,SOFT,-0.1629999999999967,0.0,-1,0.08149999999999835,0
2022,4.0,STR,ZHO,10.0,87.618,5.0,MEDIUM,87.296,4.0,MEDIUM,0.3219999999999885,1.0,0,0.16099999999999426,0
2022,4.0,VET,STR,11.0,87.501,5.0,MEDIUM,87.618,5.0,MEDIUM,-0.11699999999999022,0.0,0,0.05849999999999511,0
2022,4.0,OCO,VET,12.0,87.725,4.0,SOFT,87.501,5.0,MEDIUM,0.22399999999998954,-1.0,1,0.11199999999999477,0
2022,4.0,SAI,OCO,13.0,87.044,4.0,MEDIUM,87.725,4.0,SOFT,-0.6809999999999974,0.0,-1,0.3404999999999987,1
2022,4.0,PER,SAI,14.0,87.263,4.0,MEDIUM,87.044,4.0,MEDIUM,0.2190000000000083,0.0,0,0.10950000000000415,0
2022,4.0,MAG,PER,15.0,89.212,4.0,MEDIUM,87.263,4.0,MEDIUM,1.948999999999998,0.0,0,0.974499999999999,0
2022,4.0,LAT,MAG,16.0,87.944,4.0,MEDIUM,89.212,4.0,MEDIUM,-1.2680000000000007,0.0,0,0.6340000000000003,0
2022,4.0,TSU,LAT,17.0,88.198,4.0,MEDIUM,87.944,4.0,MEDIUM,0.2539999999999907,0.0,0,0.12699999999999534,0
2022,4.0,HAM,TSU,18.0,88.153,4.0,MEDIUM,88.198,4.0,MEDIUM,-0.044999999999987494,0.0,0,0.022499999999993747,0
2022,4.0,MSC,HAM,19.0,88.248,4.0,MEDIUM,88.153,4.0,MEDIUM,0.09499999999999886,0.0,0,0.04749999999999943,0
2022,4.0,BOT,MSC,20.0,88.362,4.0,MEDIUM,88.248,4.0,MEDIUM,0.11399999999999011,0.0,0,0.056999999999995055,0
2022,5.0,VER,LEC,2.0,85.512,5.0,SOFT,85.902,5.0,SOFT,-0.39000000000000057,0.0,0,0.19500000000000028,0
2022,5.0,RUS,VER,3.0,86.878,5.0,SOFT,85.512,5.0,SOFT,1.3659999999999997,0.0,0,0.6829999999999998,0
2022,5.0,RIC,RUS,4.0,87.441,5.0,MEDIUM,86.878,5.0,SOFT,0.5630000000000024,0.0,-1,0.2815000000000012,0
2022,5.0,GAS,RIC,5.0,87.534,5.0,MEDIUM,87.441,5.0,MEDIUM,0.09300000000000352,0.0,0,0.04650000000000176,0
2022,5.0,NOR,GAS,6.0,87.553,5.0,MEDIUM,87.534,5.0,MEDIUM,0.018999999999991246,0.0,0,0.009499999999995623,0
